Date (UTC+2:00),Token,Type,Price (USD),Amount,Total value (USD),Fee,Fee Currency,Notes
"2026-05-21 12:15:00","CETUS","buy","0.4532","104.80","47.50","--","",""
"2025-01-21 12:15:00","FLUX","buy","0.9297","62.81","58.40","--","",""
"2025-01-21 12:10:00","AXL","buy","0.6566","89.20","58.57","--","",""
"2025-01-21 12:10:00","UNI","buy","9.9946","11.67","116.62","--","",""
"2025-01-21 12:10:00","TRX","buy","0.4648","251.85","117.08","--","",""
"2025-01-21 12:05:00","LINK","buy","13.60","12.86","174.93","--","",""
"2025-01-21 12:05:00","SHIB","buy","0.00002707","4,322,080.00","117.03","--","",""
"2025-01-21 12:05:00","PEPE","buy","0.00002347","7,444,716.52","174.77","--","",""
"2025-01-21 12:05:00","CKB","buy","0.004881","23,954.64","116.92","--","",""
"2025-01-21 12:00:00","JASMY","buy","0.01683","44,924.24","756.51","--","",""
"2025-01-21 12:00:00","TAO","buy","842.57","1.0000","842.57","--","",""
"2025-01-21 12:00:00","RSR","buy","0.009622","77,369.31","744.50","--","",""
"2025-01-21 11:50:00","RENDER","buy","3.9978","188.96","755.44","--","",""
"2025-01-21 11:50:00","AR","buy","6.0897","171.77","1,046.00","--","",""
"2025-01-21 11:50:00","NEAR","buy","2.8996","337.00","977.16","--","",""
"2025-01-21 11:45:00","FET","buy","0.8777","3,972.63","3,487.09","--","",""
